"Team_name","player_name","position","targets","rz_targets","target_share","rz_target_share","completions","rz_completions","rec_yards","rz_rec_yards","rush_attempts","rz_rush_attempts","rush_share","rz_rush_share","rush_yards","rz_rush_yards","rz_tds","non_rz_tds"
"ARI","T.Allgeier","RB",2,1,0.054,0.143,2,1,9,4,17,3,0.548,0.5,61,2,0,0
"ARI","J.Love","RB",4,1,0.108,0.143,2,0,9,0,11,3,0.355,0.5,41,8,1,0
"ARI","T.McBride","TE",13,4,0.351,0.571,9,1,95,3,0,0,0,0,0,0,1,0
"ARI","K.Bourne","WR",8,1,0.216,0.143,8,1,75,11,0,0,0,0,0,0,0,0
"ARI","Mi.Wilson","WR",7,0,0.189,0,5,0,56,0,0,0,0,0,0,0,0,0
"ARI","M.Harrison","WR",3,0,0.081,0,1,0,33,0,0,0,0,0,0,0,0,0
"ARI","J.Brissett","QB",0,0,0,0,0,0,0,0,3,0,0.097,0,17,0,0,0
"ATL","Bi.Robinson","RB",10,0,0.526,NA,8,0,90,0,21,0,0.677,NA,83,0,0,1
"ATL","Br.Robinson","RB",0,0,0,NA,0,0,0,0,9,0,0.29,NA,31,0,0,0
"ATL","D.London","WR",4,0,0.211,NA,2,0,29,0,1,0,0.032,NA,6,0,0,0
"ATL","J.Dotson","WR",3,0,0.158,NA,1,0,19,0,0,0,0,NA,0,0,0,0
"ATL","O.Zaccheaus","WR",1,0,0.053,NA,1,0,5,0,0,0,0,NA,0,0,0,0
"ATL","K.Pitts","TE",1,0,0.053,NA,0,0,0,0,0,0,0,NA,0,0,0,0
"BAL","D.Henry","RB",1,0,0.042,0,1,0,19,0,24,6,0.706,0.857,144,27,2,1
"BAL","J.Hill","RB",1,0,0.042,0,1,0,10,0,6,0,0.176,0,18,0,0,0
"BAL","M.Andrews","TE",6,1,0.25,0.25,4,0,49,0,0,0,0,0,0,0,0,0
"BAL","Z.Flowers","WR",6,0,0.25,0,5,0,150,0,0,0,0,0,0,0,0,1
"BAL","L.Jackson","QB",0,0,0,0,0,0,0,0,4,1,0.118,0.143,43,5,1,0
"BAL","J.Lane","WR",3,2,0.125,0.5,1,1,11,11,0,0,0,0,0,0,0,0
"BAL","C.Moore","WR",2,0,0.083,0,1,0,53,0,0,0,0,0,0,0,0,0
"BAL","L.Wester","WR",2,0,0.083,0,2,0,15,0,0,0,0,0,0,0,0,0
"BAL","D.Smythe","TE",1,1,0.042,0.25,1,1,4,4,0,0,0,0,0,0,0,0
"BAL","R.Bateman","WR",1,0,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0
"BAL","M.Hibner","TE",1,0,0.042,0,1,0,13,0,0,0,0,0,0,0,0,0
"BUF","J.Cook","RB",4,1,0.138,0.2,3,1,12,3,13,2,0.65,0.667,57,6,0,0
"BUF","D.Moore","WR",8,0,0.276,0,5,0,100,0,0,0,0,0,0,0,0,1
"BUF","K.Shakir","WR",6,3,0.207,0.6,4,1,40,2,0,0,0,0,0,0,0,0
"BUF","D.Kincaid","TE",6,0,0.207,0,5,0,130,0,0,0,0,0,0,0,0,0
"BUF","J.Allen","QB",0,0,0,0,0,0,0,0,5,1,0.25,0.333,24,1,1,1
"BUF","J.Palmer","WR",2,0,0.069,0,1,0,34,0,0,0,0,0,0,0,0,1
"BUF","K.Coleman","WR",2,1,0.069,0.2,1,0,11,0,0,0,0,0,0,0,0,0
"BUF","D.Knox","TE",1,0,0.034,0,1,0,7,0,0,0,0,0,0,0,0,0
"BUF","F.Gore","RB",0,0,0,0,0,0,0,0,1,0,0.05,0,3,0,0,0
"BUF","R.Davis","RB",0,0,0,0,0,0,0,0,1,0,0.05,0,3,0,0,0
"CAR","C.Hubbard","RB",3,1,0.088,0.2,3,1,38,4,10,3,0.455,0.6,49,11,2,0
"CAR","J.Coker","WR",9,1,0.265,0.2,8,1,138,8,0,0,0,0,0,0,1,1
"CAR","T.McMillan","WR",8,1,0.235,0.2,5,1,75,18,0,0,0,0,0,0,0,0
"CAR","J.Brooks","RB",2,0,0.059,0,1,0,48,0,4,0,0.182,0,14,0,0,0
"CAR","T.Tremble","TE",5,0,0.147,0,3,0,25,0,0,0,0,0,0,0,0,0
"CAR","A.Dillon","RB",0,0,0,0,0,0,0,0,5,0,0.227,0,28,0,0,0
"CAR","D.Waller","TE",2,0,0.059,0,2,0,28,0,0,0,0,0,0,0,0,0
"CAR","X.Legette","WR",2,0,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0
